Capital Improvement Sources,Number of Firms,Percentage of Capital Sources,Firms with Paid Employees
Personal/family savings,"4,218,071",30.00%,26.30%
Personal/family assets,"604,701",4.30%,4.70%
Personal/family home equity,"665,378",4.70%,6.90%
Personal/business credit cards,"1,763,770",12.60%,14.50%
"Business loan: federal, state, or local government","65,292",0.50%,0.90%
Government guaranteed business loan from bank or financial institution,"48,684",0.30%,0.70%
Business loan from bank or financial institution,"1,269,349",9.00%,18.20%
Business loan/investment from family/friends,"149,078",1.10%,1.70%
Investment by venture capitalist(s),"25,245",0.20%,0.30%
Business profits and/or assets,"1,496,487",10.70%,17.60%
Grants,"52,165",0.40%,0.90%
Other source(s) of capital,"146,377",1.00%,1.60%
Unknown,"732,591",5.20%,4.80%
Did not have access to capital,"212,563",1.50%,0.80%
Did not expand or make capital improvements,"14,038,884",46.50%,29.50%
